,TLT.OPEN,TLT.HIGH,TLT.LOW,TLT.CLOSE
2009-12-23,90.96,91.39,90.5,90.65
2009-12-24,90.33,90.36,89.67,89.71
2009-12-28,89.46,89.63,89.3,89.46
2009-12-29,89.26,89.89,89.2,89.73
2009-12-30,89.92,90.48,89.865,90.32
2009-12-31,89.76,90.11,89.05,89.89
2010-01-04,89.84,90.1,89.58,89.81
2010-01-05,90.05,90.631,90,90.39
2010-01-06,90.17,90.26,89.12,89.18
2010-01-07,89.22,89.6422,89.12,89.33
2010-01-08,89.51,89.56,88.76,89.29
2010-01-11,88.99,89.36,88.77,88.8
2010-01-12,90.16,90.39,89.8425,90.32
2010-01-13,89.93,90.28,89.22,89.27
2010-01-14,89.69,90.52,89.54,90.52
2010-01-15,91.03,91.33,90.98,91.08
2010-01-19,90.72,91.122,90.42,90.82
2010-01-20,91.32,91.7701,91.27,91.74
2010-01-21,91.55,92.39,91.46,92.16
2010-01-22,92.09,92.31,91.765,92
2010-01-25,91.54,91.92,91.49,91.58
2010-01-26,92.02,92.11,91.31,91.61
2010-01-27,91.75,92.09,91.37,91.56
2010-01-28,91.13,91.7,91.06,91.51
2010-01-29,91.41,92.36,91.25,92.31
2010-02-01,91.71,91.73,91.05,91.15
2010-02-02,91.18,91.45,91.04,91.41
2010-02-03,90.81,90.97,90.27,90.35
2010-02-04,90.99,91.82,90.9,91.78
2010-02-05,91.37,92.42,91.2095,91.98
2010-02-08,91.87,92.15,91.65,92.1
2010-02-09,91.74,92.22,91.14,91.18
2010-02-10,91.32,91.6,90.2,90.31
2010-02-11,90.2,90.28,89.3806,89.82
2010-02-12,90.31,90.42,89.95,90.19
2010-02-16,89.73,90.44,89.73,90.36
2010-02-17,89.92,90.09,89.08,89.33
2010-02-18,89.46,89.5,88.51,88.97
2010-02-19,89.24,89.51,88.9,89.45
2010-02-22,89.12,89.32,88.92,89.08
2010-02-23,89.34,90.54,89.3,90.47
2010-02-24,90.55,90.88,90.18,90.69
2010-02-25,91.18,91.29,90.9,91.2
2010-02-26,91.46,92.06,91.41,91.67
2010-03-01,91.33,91.53,90.96,91.34
2010-03-02,90.88,91.275,90.7,91.22
2010-03-03,91.01,91.08,90.7,90.99
2010-03-04,90.96,91.68,90.83,91.47
2010-03-05,90.83,90.87,90.12,90.27
2010-03-08,89.9,89.97,89.6999,89.8
2010-03-09,89.98,90.0001,89.4,89.82
2010-03-10,89.49,89.7,89.19,89.59
2010-03-11,89.39,90.14,89.37,89.92
