,MDY.OPEN,MDY.HIGH,MDY.LOW,MDY.CLOSE
2013-07-29,222.76,224.01,221.83,222.67
2013-07-30,223.3,223.84,222.58,223.13
2013-07-31,224.06,225.76,223.56,224.11
2013-08-01,226.21,229.555,225.91,228.7999
2013-08-02,227.86,228.32,227.25,227.97
2013-08-05,227.67,228.3336,227.25,228.02
2013-08-06,227.21,227.59,225.14,225.58
2013-08-07,225.01,225.29,223.46,223.94
2013-08-08,224.88,225.57,223.95,224.86
2013-08-09,224.59,225.92,224.26,225.13
2013-08-12,223.8299,226.13,223.79,225.89
2013-08-13,226.09,226.09,223.99,225.64
2013-08-14,225.31,225.54,224,224
2013-08-15,221.78,222.02,219.71,219.94
2013-08-16,219.63,220.93,219.26,219.51
2013-08-19,219.21,219.98,217.87,217.87
2013-08-20,218.06,221.19,217.94,220.92
2013-08-21,219.59,221.15,218.45,218.99
2013-08-22,219.34,222.09,219.33,221.42
2013-08-23,222.09,222.09,220.08,221.78
2013-08-26,221.925,223,221.16,221.99
2013-08-27,219.57,220.02,217.12,217.29
2013-08-28,217.19,218.75,216.88,217.9
2013-08-29,217.32,219.84,217.32,218.92
2013-08-30,219.05,219.05,215.27,215.45
2013-09-03,218.53,218.95,213.21,215.1
2013-09-04,215.54,217.91,214.64,217.61
2013-09-05,217.71,218.89,217.56,217.95
2013-09-06,219.06,219.82,216.01,218.56
2013-09-09,219.14,221.89,218.98,221.76
2013-09-10,223.17,224.1,222.48,224.1
2013-09-11,223.85,224.39,222.9103,224.32
2013-09-12,224.42,224.8,223.24,223.66
2013-09-13,224.17,224.31,222.985,224.07
2013-09-16,226.95,227.09,224.92,225.33
2013-09-17,225.3701,227.11,225.23,227.11
2013-09-18,226.82,229.62,225.45,229.18
2013-09-19,229.81,229.886,228.46,228.64
2013-09-20,228.84,228.84,226.25,226.28
2013-09-23,226.3,226.31,224.265,225.32
2013-09-24,225.78,227.03,224.48,225.64
2013-09-25,225.82,227.05,224.89,225.77
2013-09-26,226.05,227.67,225.88,227.1
2013-09-27,225.69,226.83,225.45,226.2
2013-09-30,224.02,226.88,223.74,226.33
2013-10-01,225.99,230.26,225.82,229.43
2013-10-02,228.12,229.25,227.06,228.97
2013-10-03,228.46,228.61,225.34,227.14
2013-10-04,227.19,228.832,226.84,228.46
2013-10-07,226.25,227.56,225.72,225.83
2013-10-08,225.74,226.48,222.94,223.18
2013-10-09,223.4195,223.58,221.28,222.4
2013-10-10,225.13,227.44,224.57,227.35
2013-10-11,226.8,229.54,226.6,229.54
2013-10-14,228.08,230.41,227.83,230.41
2013-10-15,229.62,230.16,227.42,227.98
2013-10-16,229.51,230.96,228.93,230.96
2013-10-17,229.71,232.91,229.68,232.64
2013-10-18,233.79,234.82,232.87,234.6
2013-10-21,235.03,235.31,234.12,234.82
2013-10-22,235.63,236.95,234.83,235.99
2013-10-23,234.91,235.11,233.26,234.44
2013-10-24,234.84,235.21,234.03,234.87
2013-10-25,235.14,235.62,234.22,235.62
2013-10-28,235.62,235.85,234.46,235.32
2013-10-29,235.62,236.58,234.9,236.49
2013-10-30,236.74,236.96,234.08,234.73
2013-10-31,234.81,236.3,233.77,234.52
2013-11-01,234.92,235.69,232.9799,234.73
2013-11-04,235.53,236.67,234.87,236.48
2013-11-05,235.49,236.04,234.17,234.98
2013-11-06,236.24,236.51,234.32,234.75
2013-11-07,235.58,235.81,230.58,230.6
2013-11-08,230.65,234.17,230.65,234.17
2013-11-11,233.86,235.17,233.48,235.02
2013-11-12,234.47,234.77,233.39,234.69
2013-11-13,233.16,237.09,233.16,237.04
2013-11-14,236.96,238.19,236.41,238.03
2013-11-15,238.2,238.82,237.69,238.79
2013-11-18,239.52,239.52,236.56,237.05
2013-11-19,236.74,237.3,234.78,235.43
2013-11-20,236.04,236.8,234.0563,234.89
2013-11-21,235.87,237.91,235.58,237.79
2013-11-22,237.74,238.42,237.18,238.2
2013-11-25,238.76,238.76,237.28,237.87
2013-11-26,237.71,238.45,237.15,237.86
2013-11-27,238.13,238.53,237.46,238.47
2013-11-29,238.78,238.97,237.43,237.43
2013-12-02,237.52,239.6196,236.12,237.51
2013-12-03,236.76,237.96,235.71,236.69
2013-12-04,235.86,237.56,234.3,236.29
2013-12-05,236.12,236.78,235.3,236.78
2013-12-06,239.27,239.5,237.93,238.55
2013-12-09,238.77,239.83,238.44,238.89
2013-12-10,238.33,239.97,238.1,238.11
2013-12-11,238.4,238.4,233.9,234.21
2013-12-12,234.13,235,233.5255,234.45
2013-12-13,234.81,235.87,233.94,235.17
2013-12-16,236.1,237.24,236.03,236.84
2013-12-17,236.92,237.2,235.44,236.73
2013-12-18,237.26,239.73,235,239.68
2013-12-19,239.31,239.31,237.48,237.71
2013-12-20,237.34,239.88,237.04,239.67
2013-12-23,240.72,241.71,240.56,241.57
2013-12-24,241.79,242.74,241.79,242.7
2013-12-26,243.53,243.96,242.49,242.78
2013-12-27,243.18,243.66,242.58,242.98
2013-12-30,242.8,243.6599,242.63,243.25
2013-12-31,243.76,244.46,243.59,244.2
2014-01-02,243.31,243.51,240.68,241.4
2014-01-03,242.07,243.03,241.69,242.46
2014-01-06,243.38,243.6,240.85,240.93
2014-01-07,241.82,243.6,241.62,242.93
2014-01-08,242.94,243.8,241.78,243.4
2014-01-09,244.11,244.5499,242.26,243.64
2014-01-10,244,245.44,243.58,245.44
2014-01-13,244.85,245.24,241.19,241.96
2014-01-14,242.86,245.01,242.13,244.79
2014-01-15,245.14,246.41,244.99,246.2
2014-01-16,245.59,246.23,245.3,245.87
2014-01-17,245.63,246.08,244.871,245.14
2014-01-21,246.6,246.97,244.68,246.04
2014-01-22,246.25,247.39,245.94,247.24
2014-01-23,245.82,246.13,244.07,245.29
2014-01-24,243.61,243.88,238.9,238.9
2014-01-27,239.19,239.7,235.47,236.65
2014-01-28,237.2,239.35,236.81,239.07
2014-01-29,236.77,238.88,236.24,236.44
2014-01-30,238.32,240.44,238.15,239.76
2014-01-31,236.51,240.49,236.26,238.78
2014-02-03,238.32,238.81,229.97,230.3
2014-02-04,231.29,233.32,230.09,233.29
2014-02-05,231.76,233.07,229.86,232.26
2014-02-06,233.39,235.82,233.39,235.82
2014-02-07,236.72,238.17,236.12,237.98
2014-02-10,237.77,238.73,236.89,238.61
2014-02-11,238.99,241.53,238.7,240.88
2014-02-12,241.61,243.09,241.45,242.35
2014-02-13,240.58,244.5299,240.58,243.99
2014-02-14,244.07,245.255,243.45,245.2
2014-02-18,245.67,246.86,244.8,246.52
2014-02-19,246.17,247.51,244.71,244.92
2014-02-20,245.34,246.96,244.46,246.38
2014-02-21,247.12,247.81,246.3,246.98
2014-02-24,247.32,249.7836,247.29,247.88
