,RWR.OPEN,RWR.HIGH,RWR.LOW,RWR.CLOSE
2012-12-14,71.5,71.64,71.352,71.52
2012-12-17,71.81,71.9526,71.5,71.94
2012-12-18,72,72.65,71.97,72.62
2012-12-19,72.98,72.98,72.48,72.53
2012-12-20,72.55,73.53,72.51,73.51
2012-12-21,72.1,72.96,72.07,72.69
2012-12-24,72.5,73.02,71.6,72.82
2012-12-26,73.121,73.121,72.235,72.45
2012-12-27,72.48,72.82,71.864,72.7
2012-12-28,72.43,72.87,72.16,72.18
2012-12-31,72.34,72.98,71.95,72.97
2013-01-02,74.4,74.43,73.388,73.78
2013-01-03,73.8,74.17,73.685,73.8399
2013-01-04,74.07,74.2,73.75,74.18
2013-01-07,74.09,74.37,73.95,74.34
2013-01-08,74.26,74.46,73.94,74.16
2013-01-09,74.43,74.47,74.16,74.41
2013-01-10,74.51,74.83,74.12,74.42
2013-01-11,74.51,74.57,74.07,74.36
2013-01-14,74.46,74.54,74.33,74.53
2013-01-15,74.45,74.98,74.31,74.87
2013-01-16,74.79,74.84,74.56,74.8
2013-01-17,74.92,75.14,74.92,75
2013-01-18,75.08,75.35,74.89,75.32
2013-01-22,75.37,75.74,75.3,75.74
2013-01-23,75.74,75.83,75.51,75.74
2013-01-24,75.84,76.04,75.6138,75.89
2013-01-25,76.05,76.39,75.95,76.39
2013-01-28,76.62,76.66,76.14,76.53
2013-01-29,76.52,76.66,76.38,76.64
2013-01-30,76.59,76.59,75.85,75.94
2013-01-31,75.98,75.98,75.28,75.47
2013-02-01,75.82,76.12,75.55,75.9
2013-02-04,76.1,76.1,75.5,75.75
2013-02-05,76,76.05,75.47,75.55
2013-02-06,75.38,75.81,75.2,75.731
2013-02-07,75.76,75.92,75.27,75.47
2013-02-08,75.51,76.19,75.51,76.16
2013-02-11,76.06,76.36,76.06,76.29
2013-02-12,76.38,76.81,76.25,76.79
2013-02-13,77.01,77.01,76.518,76.74
2013-02-14,76.62,76.6999,76.33,76.38
2013-02-15,76.5,76.5,76.09,76.44
2013-02-19,76.61,76.99,76.52,76.96
2013-02-20,76.97,77.3,76.52,76.52
2013-02-21,76.31,76.56,75.7439,75.9
2013-02-22,76.1,76.62,76.08,76.62
2013-02-25,76.9,77.25,75.18,75.21
2013-02-26,75.46,75.914,75.04,75.64
2013-02-27,75.7,76.5,75.5,76.1
2013-02-28,76.17,76.44,76,76.08
2013-03-01,75.89,76.4,75.46,76.35
2013-03-04,76.32,77.07,76.3,76.88
2013-03-05,77.24,77.62,76.85,77.49
2013-03-06,77.82,77.83,76.98,77.34
2013-03-07,77.17,77.53,76.76,76.89
2013-03-08,77.03,77.19,76.45,76.92
2013-03-11,77.02,77.07,76.6446,77.05
2013-03-12,77.07,77.0997,76.64,76.81
2013-03-13,76.78,77.09,76.59,76.82
2013-03-14,77.03,77.41,76.81,77.34
2013-03-15,76.92,77.04,76.48,76.97
2013-03-18,76.47,76.87,76.4,76.66
2013-03-19,76.74,76.74,75.74,76.2
2013-03-20,76.59,76.61,76.21,76.43
2013-03-21,76.24,76.74,76.15,76.17
2013-03-22,76.53,76.71,76.3,76.59
2013-03-25,76.79,77.079,76.5,76.67
2013-03-26,76.8,77.32,76.8,77.31
2013-03-27,77.09,77.3688,76.88,77.34
2013-03-28,77.59,77.6845,77.18,77.63
2013-04-01,77.55,77.854,77.17,77.854
2013-04-02,77.88,78.42,77.88,78.2
2013-04-03,78.19,78.61,77.76,77.96
2013-04-04,78.08,79.28,78.08,79.24
2013-04-05,78.47,79.55,78.36,79.54
2013-04-08,79.63,80.3699,78.81,80.33
2013-04-09,80.52,80.63,79.8657,80.32
2013-04-10,80.4,80.9199,80.4,80.78
2013-04-11,80.98,81.68,80.88,81.35
2013-04-12,81.02,81.5299,81,81.49
2013-04-15,81.43,81.58,79.91,79.91
2013-04-16,80.44,81.3,79.7415,81.28
2013-04-17,80.88,80.95,79.796,80.32
2013-04-18,80.38,80.54,79.82,80.24
2013-04-19,80.31,81.47,80.26,81.44
2013-04-22,81.39,81.58,80.84,81.23
2013-04-23,81.57,81.83,81.08,81.65
2013-04-24,81.83,81.98,81.506,81.93
2013-04-25,81.81,81.97,81.0895,81.56
2013-04-26,81.69,81.82,81.2,81.32
2013-04-29,81.74,82.04,81.34,81.9705
2013-04-30,82.08,82.93,81.94,82.89
2013-05-01,82.98,83.03,82.14,82.34
2013-05-02,82.4,83.11,82.4,82.88
2013-05-03,83.68,83.68,82.9,83.05
2013-05-06,83.24,83.5,83.1363,83.47
2013-05-07,83.71,83.94,83.25,83.89
2013-05-08,83.69,84.04,83.43,83.87
2013-05-09,83.83,83.83,83.2,83.33
2013-05-10,83.51,83.67,83.24,83.65
